"rec_id","state_lgd_code","district_lgd_code","sub_district_lgd_code","village_lgd_code","season","season_id","year","total_plots","total_assigned_plots","total_no_of_surveyors","total_plots_surveyed","total_plots_unable_to_survey","total_survey_approved","total_today_survey","total_survey_under_review","timestamp","createdat","updatedat","reference_id","record_id","is_view"
1331495,"27","474","3957","526209","Kharif",1,"2024-2025",292,46,1,59,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:31","2024-12-10 05:14:31","20241210103416","2b752705-2241-4633-be37-6e0f03345bb8",False
1331496,"27","665","4157","551574","Kharif",1,"2024-2025",382,234,0,0,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:31","2024-12-10 05:14:31","20241210103416","62b40beb-c946-4fe4-8044-0c15c4e4a53b",False
1331497,"27","468","4007","532459","Kharif",1,"2024-2025",831,120,2,235,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:31","2024-12-10 05:14:31","20241210103416","2d920374-ab7b-4254-afc5-d10632f8e848",False
1331498,"27","498","4016","533585","Kharif",1,"2024-2025",337,102,2,30,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:32","2024-12-10 05:14:32","20241210103416","59ef571f-d14c-4d88-8f6a-23fbc34398dd",False
1331499,"27","477","4113","546050","Kharif",1,"2024-2025",751,265,1,7,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:32","2024-12-10 05:14:32","20241210103416","e412af6b-6589-4251-addd-e8190160ebb0",False
1331500,"27","469","4136","548677","Kharif",1,"2024-2025",911,395,2,4,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:32","2024-12-10 05:14:32","20241210103416","ea7083ad-a93f-466e-a63b-bd94b6558206",False
1331501,"27","494","4257","563214","Kharif",1,"2024-2025",3935,3641,1,56,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:31","2024-12-10 05:14:31","20241210103416","17d7f461-2909-45e3-bf53-966604d5f13e",False
1331502,"27","484","4024","534961","Kharif",1,"2024-2025",107,31,0,0,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:31","2024-12-10 05:14:31","20241210103416","db99f8c9-68b4-4b73-a98e-a6ba0d86b7d6",False
1331503,"27","479","4128","547684","Kharif",1,"2024-2025",405,157,1,3,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:31","2024-12-10 05:14:31","20241210103416","8c529842-9014-4678-9878-2cf875dae11c",False
1331504,"27","484","4024","535035","Kharif",1,"2024-2025",189,97,2,59,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:32","2024-12-10 05:14:32","20241210103416","ffc6fcb2-75c4-4478-98bf-9421f74da784",False
1331505,"27","477","4113","546006","Kharif",1,"2024-2025",211,36,1,18,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:32","2024-12-10 05:14:32","20241210103416","3316b778-d6c4-4037-aef1-a8fabe4db2e3",False
1331506,"27","470","4220","559461","Kharif",1,"2024-2025",1214,615,1,6,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:32","2024-12-10 05:14:32","20241210103416","233b2536-a286-4a89-88b4-1d046562e3f8",False
1331507,"27","500","4084","542720","Kharif",1,"2024-2025",305,82,1,1,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:31","2024-12-10 05:14:31","20241210103416","3cfd00db-cb9a-4ffd-9749-ac064b951b91",False
1331508,"27","487","4144","549955","Kharif",1,"2024-2025",3501,1935,1,667,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:31","2024-12-10 05:14:31","20241210103416","e08daacf-f5b2-4e85-8219-f2f3d16d9e9d",False
1331509,"27","492","4273","565929","Kharif",1,"2024-2025",79,69,1,32,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:31","2024-12-10 05:14:31","20241210103416","a4836250-d34c-4e53-9e7b-a15f3b387f09",False
1331510,"27","494","4257","563180","Kharif",1,"2024-2025",535,475,1,0,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:32","2024-12-10 05:14:32","20241210103416","b3496e10-9857-462f-8fdf-4733cd2e289f",False
1331511,"27","665","4157","551534","Kharif",1,"2024-2025",1428,1076,2,48,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:32","2024-12-10 05:14:32","20241210103416","18ac05a6-bc98-4c9a-9eaa-db29524083d0",False
1331512,"27","496","4253","562736","Kharif",1,"2024-2025",482,361,1,98,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:32","2024-12-10 05:14:32","20241210103416","686d041d-3291-4c02-ab86-7458f8f3f9c8",False
1331513,"27","477","4113","546037","Kharif",1,"2024-2025",1476,498,2,24,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:31","2024-12-10 05:14:31","20241210103416","ddf12c52-6942-4fa5-b840-9658d37ef1f6",False
1331514,"27","474","3957","526234","Kharif",1,"2024-2025",502,151,1,157,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:31","2024-12-10 05:14:31","20241210103416","c46f7f1a-7127-4d3c-b201-cd22fab91f64",False
1331515,"27","484","4024","534925","Kharif",1,"2024-2025",435,208,0,0,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:31","2024-12-10 05:14:31","20241210103416","5250d738-d27f-4e4a-8ae5-9f7c97ed9d99",False
1331516,"27","477","4113","546031","Kharif",1,"2024-2025",412,46,1,18,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:32","2024-12-10 05:14:32","20241210103416","9888be4b-6be5-4242-80a5-8ccc5bff8dba",False
1331517,"27","473","4069","540998","Kharif",1,"2024-2025",146,54,1,17,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:32","2024-12-10 05:14:32","20241210103416","a3659e67-d45a-4aa5-a882-53ba38015a9e",False
1331518,"27","471","4040","537148","Kharif",1,"2024-2025",595,196,1,12,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:32","2024-12-10 05:14:32","20241210103416","bd88476a-2495-4bf6-a177-61db111e1624",False
1331519,"27","471","4040","537116","Kharif",1,"2024-2025",224,101,1,20,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:31","2024-12-10 05:14:31","20241210103416","db463558-e7ce-4e3e-a747-3bb9f2d75165",False
1331520,"27","485","4101","544806","Kharif",1,"2024-2025",1274,413,1,0,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:31","2024-12-10 05:14:31","20241210103416","bdf230ea-94d5-49b6-aad9-20feffc9b276",False
1331521,"27","467","3993","530391","Kharif",1,"2024-2025",346,21,1,103,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:32","2024-12-10 05:14:32","20241210103416","69c30cb6-0f7b-473f-b554-602747afdd10",False
1331522,"27","469","4136","548743","Kharif",1,"2024-2025",485,307,1,0,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:32","2024-12-10 05:14:32","20241210103416","7f0cc01c-771a-49e5-ae43-6a0b80271634",False
1331523,"27","495","4279","566704","Kharif",1,"2024-2025",882,881,1,0,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:32","2024-12-10 05:14:32","20241210103416","16a81180-0625-40d1-a2ca-48652de886b2",False
1331524,"27","478","3965","943289","Kharif",1,"2024-2025",327,103,1,0,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:32","2024-12-10 05:14:32","20241210103416","2b3b951a-fb38-4be3-9d9c-161feaae79bf",False
1331525,"27","467","3993","530424","Kharif",1,"2024-2025",197,53,1,12,0,0,0,0,"2024-11-30 20:14:22.294777","2024-12-10 05:14:31","2024-12-10 05:14:31","20241210103416","ca6fb17d-546f-4db5-a9e8-fb1b12cbe34b",False
