"rec_id","state_lgd_code","district_lgd_code","sub_district_lgd_code","village_lgd_code","season","season_id","season_start_date","season_end_date","crop_code","crop_name_eng","irrigation_source","area_unit","year","timestamp","no_of_plots","no_of_farmers","crop_area_closed","crop_area_approved","createdat","updatedat","reference_id","record_id","is_view"
107147828,"27","473","4065","540536","Rabi",NULL,"","","0101901","Wheat","शेततळे","Hectare","2024-2025","2025-03-12 20:14:22.294777","2","2","1.3800","1.3800","2025-03-13 15:59:49",NULL,"20250313153709","00007fc1-6b70-45d9-bc20-37479a0ca974",False
107147829,"27","473","4068","540943","Rabi",NULL,"","","0200400","Chickpea","कुपनलिका/बोअरवेल/विंधन विहीर","Hectare","2024-2025","2025-03-12 20:14:22.294777","5","5","5.9000","5.9000","2025-03-13 15:59:49",NULL,"20250313153709","00006eff-542e-4cdd-85fa-95e97f89864f",False
107147830,"27","472","3978","528575","Rabi",NULL,"","","0500800","Banana","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","3","3","5.0000","5.0000","2025-03-13 15:59:49",NULL,"20250313153709","0000cdf3-111d-4009-a31a-18017ffe7d40",False
107147831,"27","490","4199","556969","Rabi",NULL,"","","0101800","Sorghum","सामुहिक शेततळे","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.4700","0.4700","2025-03-13 15:59:49",NULL,"20250313153709","00011f81-d85b-4ae2-992b-70d93a48ab7e",False
107147833,"27","481","4226","560196","Rabi",NULL,"","","0801000","Safflower","अन्य सर्व्हे नं. मधिल विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.5900","0.5900","2025-03-13 15:59:49",NULL,"20250313153709","00029910-8001-449d-9d66-42e0738c3682",False
107147834,"27","487","4152","551010","Rabi",NULL,"","","0101000","Maize","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","28","28","10.4299","10.4299","2025-03-13 15:59:49",NULL,"20250313153709","00032d98-1c09-4afd-880c-3b704b1dc1fe",False
107147835,"27","493","4296","568314","Rabi",NULL,"","","0300200","Sugarcane","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","155","155","45.0649","45.0649","2025-03-13 15:59:49",NULL,"20250313153709","0003b332-2c91-4e9e-b680-93d215e29370",False
107147836,"27","466","4208","558042","Rabi",NULL,"","","0101800","Sorghum","अजलसिंचित","Hectare","2024-2025","2025-03-12 20:14:22.294777","3","3","1.0800","1.0800","2025-03-13 15:59:49",NULL,"20250313153709","00042a79-6393-4b2b-85f7-e8f2f429c6ef",False
107147837,"27","470","4215","558861","Rabi",NULL,"","","0101800","Sorghum","अजलसिंचित","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.7000","0.7000","2025-03-13 15:59:49",NULL,"20250313153709","00074041-4af4-461e-9f19-b5d86501dcb3",False
107147838,"27","496","4246","562085","Rabi",NULL,"","","0300200","Sugarcane","तलाव","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","2.4000","2.4000","2025-03-13 15:59:49",NULL,"20250313153709","0007ae25-5b65-4a0d-bc9c-7e6e7d15a583",False
107147839,"27","487","4156","551464","Rabi",NULL,"","","0200400","Chickpea","अन्य सर्व्हे नं. मधिल विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","6","6","1.6400","1.6400","2025-03-13 15:59:49",NULL,"20250313153709","00085a13-f2ac-467c-ba34-6ae066f11ef1",False
107147840,"27","467","3989","529766","Rabi",NULL,"","","0500800","Banana","कुपनलिका/बोअरवेल/विंधन विहीर","Hectare","2024-2025","2025-03-12 20:14:22.294777","16","16","19.2800","19.2800","2025-03-13 15:59:49",NULL,"20250313153709","000933f5-74d8-492c-999a-459b338adb97",False
107147841,"27","479","4131","548030","Rabi",NULL,"","","0101800","Sorghum","अन्य सर्व्हे नं. मधिल विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.6000","0.6000","2025-03-13 15:59:49",NULL,"20250313153709","0009d7eb-d3cb-40ac-9679-1b1493b5693b",False
107147842,"27","466","4202","557415","Rabi",NULL,"","","0300200","Sugarcane","कुपनलिका/बोअरवेल/विंधन विहीर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.1500","0.1500","2025-03-13 15:59:49",NULL,"20250313153709","000b1b42-4c87-419c-bc7f-a8698bc94a69",False
107147843,"27","472","3987","529583","Rabi",NULL,"","","0101901","Wheat","खाजगी कालवा","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","1.2000","1.2000","2025-03-13 15:59:49",NULL,"20250313153709","000b33df-00fd-41a1-87cf-7639adac1328",False
107147844,"27","480","4291","567822","Rabi",NULL,"","","0300200","Sugarcane","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","8","8","0.8297","0.8297","2025-03-13 15:59:49",NULL,"20250313153709","000bdf6d-6bd5-4b43-bfb9-ac81276aee76",False
107147845,"27","489","4123","547165","Rabi",NULL,"","","0200400","Chickpea","अन्य सर्व्हे नं. मधिल विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","5","5","4.2200","4.2200","2025-03-13 15:59:49",NULL,"20250313153709","0001aab5-b584-4d8e-b1ed-8f0256b12847",False
107147846,"27","478","3974","527994","Rabi",NULL,"","","0101800","Sorghum","कुपनलिका/बोअरवेल/विंधन विहीर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.8000","0.8000","2025-03-13 15:59:49",NULL,"20250313153709","00024335-15d0-4460-ad25-e1eee2c90e32",False
107147847,"27","468","4012","533082","Rabi",NULL,"","","1406400","Sandalwood","कुपनलिका/बोअरवेल/विंधन विहीर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","1.5600","1.5600","2025-03-13 15:59:49",NULL,"20250313153709","000d47a3-495a-475f-b131-54f3326503bc",False
107147848,"27","481","4232","560613","Rabi",NULL,"","","0200400","Chickpea","अजलसिंचित","Hectare","2024-2025","2025-03-12 20:14:22.294777","36","36","25.0250","25.0250","2025-03-13 15:59:49",NULL,"20250313153709","0003c301-c15b-4bea-9f3b-2a0e50b3cf6d",False
107147849,"27","472","3986","529450","Rabi",NULL,"","","0801200","Soybean","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","1.0100","1.0100","2025-03-13 15:59:49",NULL,"20250313153709","000d745c-603b-4565-a167-929226a1f9ae",False
107147850,"27","469","4134","548489","Rabi",NULL,"","","0200400","Chickpea","अन्य सर्व्हे नंबर मधील  कुपनलिका ","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","1.0000","1.0000","2025-03-13 15:59:49",NULL,"20250313153709","00059152-1ef0-4ee6-a394-df62fbf457dd",False
107147851,"27","488","4240","561459","Rabi",NULL,"","","0200400","Chickpea","सरकारी कालवा","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","1.6700","1.6700","2025-03-13 15:59:49",NULL,"20250313153709","0006c0e3-c8f4-4e76-8d9d-758908224586",False
107147852,"27","474","3958","526304","Rabi",NULL,"","","0702000","Onion","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","55","55","36.8500","36.8500","2025-03-13 15:59:49",NULL,"20250313153709","000e7095-b9d5-4523-8718-e2c683c60911",False
107147853,"27","490","4188","555468","Rabi",NULL,"","","0200400","Chickpea","अजलसिंचित","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.0950","0.0950","2025-03-13 15:59:49",NULL,"20250313153709","0007a4e7-8e80-43bc-a6a6-34d54ab90b9a",False
107147854,"27","469","4139","549106","Rabi",NULL,"","","0702000","Onion","अजलसिंचित","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.4100","0.4100","2025-03-13 15:59:49",NULL,"20250313153709","0007e30e-e4c6-41a3-ba37-846f9cad554a",False
107147855,"27","478","3962","526876","Rabi",NULL,"","","0500800","Banana","अन्य सर्व्हे नं. मधिल विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.1937","0.1937","2025-03-13 15:59:49",NULL,"20250313153709","00085b91-87c5-44cc-8cdf-74b92834ef03",False
