rec_id,state_lgd_code,district_lgd_code,sub_district_lgd_code,village_lgd_code,area_unit,season,season_id,year,timestamp,total_surveyed_plots,total_surveyable_area,total_surveyed_area,total_na_area,total_fallow_area,total_harvested_area,total_irrigated_area,total_perennial_crop_area,total_biennial_crop_area,total_seasonal_crop_area,total_unirrigated_area,createdat,updatedat,reference_id,record_id,is_view
7684538,27,467,3993,530335,Hectare,Kharif,1,2024-2025,14:22.3,528,425.15,399.68,0,15.88,0,0,7.61,0,392.07,0,17-12-2024 15:30,17-12-2024 15:30,2.02412E+13,dc109d9a-6694-4274-be0e-aaa96c726245,FALSE
7684539,27,477,4113,546060,Hectare,Kharif,1,2024-2025,14:22.3,276,499.45,211.87,0,17.47,0,0,0,0,211.87,0,17-12-2024 15:30,17-12-2024 15:30,2.02412E+13,00418823-0727-468a-b609-8f8b0ef1a167,FALSE
7684540,27,498,4016,533603,Hectare,Kharif,1,2024-2025,14:22.3,119,315.14,115.671,0,0.004,0,0,27.7081,0,87.9629,0,17-12-2024 15:30,17-12-2024 15:30,2.02412E+13,a4dc3744-f1bb-4b5b-a8d7-929849fcf1a1,FALSE
7684541,27,490,4195,556414,Hectare,Kharif,1,2024-2025,14:22.3,48,397.6201,25.6848,0,0.6004,0,0,16.7848,0,8.9,0,17-12-2024 15:29,17-12-2024 15:29,2.02412E+13,1e2faca2-ee90-4bf5-b94f-a806e920f630,FALSE
7684542,27,480,4288,567527,Hectare,Kharif,1,2024-2025,14:22.3,685,1324.1656,268.7247,0,370.1313,0,0,201.1944,0,67.5303,0,17-12-2024 15:30,17-12-2024 15:30,2.02412E+13,da88b8a5-14b5-4bc2-adec-f243a21c158f,FALSE
7684543,27,474,3957,526183,Hectare,Kharif,1,2024-2025,14:22.3,437,464.08,346.4575,43.061365,21.0125,0,0,4.77,0,341.6875,0,17-12-2024 15:30,17-12-2024 15:30,2.02412E+13,d0e1ea52-1377-4eac-9c37-819b3364a182,FALSE
7684544,27,468,4007,532450,Hectare,Kharif,1,2024-2025,14:22.3,280,329.7,258.865,0,0,0,0,159.845,0,99.02,0,17-12-2024 15:30,17-12-2024 15:30,2.02412E+13,ce253ea4-53e8-4988-8c31-de3b5cb98fec,FALSE
7684545,27,467,3993,530366,Hectare,Kharif,1,2024-2025,14:22.3,71,90.39,74.893,0,0.4,0,0,0,0,74.893,0,17-12-2024 15:30,17-12-2024 15:30,2.02412E+13,a6e91c7b-24d6-4166-bd27-7ba3c3012881,FALSE
7684546,27,484,4024,534983,Hectare,Kharif,1,2024-2025,14:22.3,114,238.32,117.22,0,0.42,0,0,20.21,0,97.01,0,17-12-2024 15:30,17-12-2024 15:30,2.02412E+13,d0467a98-896d-474a-bc4a-b193d5e0f993,FALSE
7684547,27,498,4016,533586,Hectare,Kharif,1,2024-2025,14:22.3,182,646.3707,217.09,32.145938,2.77,0,0,15.85,0,201.24,0,17-12-2024 15:30,17-12-2024 15:30,2.02412E+13,d7889f20-53a3-44ab-a729-efff94aa2730,FALSE
